"checking_time";"current_world_population";"births_this_year";"births_today";"deaths_this_year";"deaths_today";"net_population_growth_this_year";"net_population_growth_today";"public_healthcare_expenditure_today";"public_education_expenditure_today";"public_military_expenditure_today";"cars_produced_this_year";"bicycles_produced_this_year";"computers_produced_this_year";"new_book_titles_published_this_year";"newspapers_circulated_today";"tv_sets_sold_worldwide_today";"cellular_phones_sold_today";"money_spent_on_videogames_today";"internet_users_in_the_world_today";"emails_sent_today";"blog_posts_written_today";"tweets_sent_today";"google_searches_today";"forest_loss_this_year";"land_lost_to_soil_erosion_this_year";"co2_emissions_this_year";"desertification_this_year";"toxic_chemicals_released_in_the_environment_this_year";"undernourished_people_in_the_world";"overweight_people_in_the_world";"obese_people_in_the_world";"people_who_died_of_hunger_today";"money_spent_for_obesity_related_diseases_in_the_usa_today";"money_spent_on_weight_loss_programs_in_the_usa_today";"water_used_this_year";"deaths_caused_by_water_related_diseases_this_year";"people_with_no_access_to_a_safe_drinking_water_source";"energy_used_today";"non-renewable_sources";"renewable_sources";"solar_energy_striking_earth_today";"oil_pumped_today";"oil_left";"days_to_the_end_of_oil";"natural_gas_left";"days_to_the_end_of_natural_gas";"coal_left";"days_to_the_end_of_coal";"communicable_disease_deaths_this_year";"seasonal_flu_deaths_this_year";"deaths_of_children_under_5_this_year";"abortions_this_year";"deaths_of_mothers_during_birth_this_year";"hiv_or_aids_infected_people";"deaths_caused_by_hiv_or_aids_this_year";"deaths_caused_by_cancer_this_year";"deaths_caused_by_malaria_this_year";"cigarettes_smoked_today";"deaths_caused_by_smoking_this_year";"deaths_caused_by_alcohol_this_year";"suicides_this_year";"money_spent_on_illegal_drugs_this_year";"road_traffic_accident_fatalities_this_year"
"24/05/2022_22:00";"7949238661";"55218952";"351910";"23182239";"147740";"32036714";"204170";"14699255232";"9913393139";"4335019859";"32623030";"60803389";"95040020";"1081986";"429010329";"615780";"6461058";"282897412";"5314353406";"259399536324";"7897333";"793679094";"8120027916";"2049842";"2759642";"14346628192";"4729928";"3859770";"860930963";"1727646487";"809666897";"28092";"570012188";"173653767";"1772190542";"331903";"782030402";"428747348";"364973953";"64565611";"2686552192604";"87935986";"1437888311210";"14995";"1081872859087";"56941";"4295151275696";"148109";"5116526";"196021";"2995828";"16838168";"121822";"43655921";"662563";"3236986";"155423";"13904501482";"1970285";"985764";"422648";"157672541289";"532039"
"24/05/2022_23:00";"7949247948";"55234958";"367916";"23188959";"154460";"32046000";"213456";"15367881677";"10364316078";"4532193141";"32632582";"60821097";"95067360";"1082301";"448522692";"643788";"6754961";"295765531";"5314399289";"271199102299";"8256637";"829783453";"8489456264";"2050437";"2760442";"14350792393";"4731299";"3860889";"860931984";"1727648427";"809669886";"29370";"595940740";"181552122";"1772707441";"331999";"782029338";"448248213";"381574190";"67502271";"2808745580519";"91935609";"1437884311170";"14995";"1081872066286";"56941";"4295150064873";"148109";"5118009";"196078";"2996696";"16843053";"121857";"43656026";"662755";"3237924";"155468";"14536924760";"1970856";"986050";"422770";"157718245089";"532193"
"25/05/2022_00:00";"7949257224";"55250949";"109";"23195672";"46";"32055277";"63";"4572815";"3083968";"1348580";"32642125";"60838787";"95094674";"1082616";"133460";"192";"2010";"88007";"5314445120";"80697155";"2457";"246908";"2526115";"2051030";"2761241";"14354952562";"4732668";"3862007";"860933004";"1727650366";"809672872";"9";"177326";"54022";"1773223841";"332095";"782028274";"133379";"113540";"20086";"835757814";"27356";"1437880315671";"14995";"1081871274385";"56941";"4295148855425";"148109";"5119491";"196135";"2997564";"16847934";"121893";"43656140";"662946";"3238862";"155513";"4325543";"1971427";"986335";"422893";"157763904597";"532347"
"25/05/2022_01:00";"7949266492";"55266923";"16083";"23202378";"6752";"32064545";"9331";"671784052";"453059891";"198116832";"32651657";"60856459";"95121958";"1082930";"19606320";"28142";"295284";"12928944";"5314490904";"11855085151";"360933";"36272940";"371110205";"2051623";"2762040";"14359108254";"4734037";"3863123";"860934023";"1727652302";"809675855";"1284";"26050692";"7936224";"1773739687";"332191";"782027212";"19594362";"16679828";"2950740";"122779249225";"4018799";"1437876324340";"14995";"1081870483311";"56941";"4295147647238";"148109";"5120971";"196192";"2998431";"16852809";"121928";"43656244";"663138";"3239798";"155558";"635455458";"1971997";"986621";"423015";"157809514929";"532501"
"25/05/2022_02:00";"7949275776";"55282925";"32085";"23209096";"13470";"32073829";"18615";"1340211148";"903855064";"395242424";"32661207";"60874162";"95149292";"1083245";"39114486";"56143";"589093";"25793276";"5314536773";"23650949982";"720070";"72364812";"740372210";"2052217";"2762839";"14363271492";"4735407";"3864242";"860935044";"1727654242";"809678843";"2561";"51971238";"15832733";"1774256472";"332287";"782026148";"39090670";"33276186";"5886714";"244944083352";"8017488";"1437872325626";"14995";"1081869690773";"56941";"4295146436817";"148108";"5122454";"196249";"2999299";"16857694";"121963";"43656349";"663330";"3240736";"155603";"1267730952";"1972568";"986906";"423138";"157855208050";"532656"
"25/05/2022_03:00";"7949285062";"55298931";"48091";"23215816";"20190";"32083115";"27901";"2008785356";"1354748708";"592410165";"32670759";"60891870";"95176632";"1083560";"58626765";"84150";"882967";"38660434";"5314582653";"35449431273";"1079292";"108464820";"1109721735";"2052811";"2763639";"14367435619";"4736778";"3865361";"860936066";"1727656182";"809681832";"3839";"77897520";"23730923";"1774773368";"332384";"782025084";"58591129";"49876078";"8823313";"367134927877";"12017028";"1437868325930";"14995";"1081868898040";"56940";"4295145226098";"148108";"5123937";"196306";"3000167";"16862579";"121998";"43656454";"663522";"3241674";"155648";"1900141067";"1973139";"987192";"423260";"157900910899";"532810"
"25/05/2022_04:00";"7949294321";"55314890";"64050";"23222516";"26890";"32092374";"37160";"2675405849";"1804324007";"789000512";"32680283";"60909526";"95203891";"1083875";"78081845";"112076";"1175983";"51489985";"5314628394";"47213455214";"1437471";"144459527";"1477998167";"2053404";"2764437";"14371587552";"4738145";"3866476";"860937084";"1727658117";"809684812";"5113";"103748070";"31605977";"1775288751";"332480";"782024023";"78034464";"66427342";"11751310";"488967832709";"16004851";"1437864338398";"14995";"1081868107719";"56940";"4295144019061";"148108";"5125416";"196363";"3001033";"16867450";"122034";"43656558";"663714";"3242610";"155693";"2530698630";"1973708";"987477";"423382";"157946479869";"532964"
"25/05/2022_05:00";"7949303618";"55330914";"80074";"23229243";"33617";"32101671";"46457";"3344747620";"2255733819";"986392146";"32689846";"60927253";"95231261";"1084190";"97616165";"140115";"1470196";"64371904";"5314674328";"59025522618";"1797119";"180601362";"1847784231";"2053999";"2765238";"14375756407";"4739518";"3867596";"860938106";"1727660059";"809687804";"6392";"129704177";"39513121";"1775806237";"332576";"782022957";"97557031";"83046054";"14691238";"611297207186";"20008925";"1437860334120";"14995";"1081867314078";"56940";"4295142806955";"148108";"5126900";"196420";"3001902";"16872341";"122069";"43656663";"663906";"3243549";"155738";"3163825719";"1974280";"987763";"423505";"157992234532";"533118"
"25/05/2022_06:00";"7949312885";"55346887";"96047";"23235949";"40323";"32110938";"55724";"4011998163";"2705732549";"1183165836";"32699379";"60944925";"95258546";"1084505";"117089274";"168066";"1763490";"77213571";"5314720114";"70800705850";"2155650";"216630471";"2216421208";"2054592";"2766036";"14379912211";"4740886";"3868713";"860939125";"1727661996";"809690787";"7667";"155579221";"47395505";"1776322104";"332672";"782021895";"117018464";"99612724";"17621960";"733243513281";"24000461";"1437856342759";"14995";"1081866522997";"56940";"4295141598759";"148108";"5128380";"196477";"3002769";"16877216";"122104";"43656769";"664097";"3244486";"155783";"3794970202";"1974850";"988048";"423627";"158037845917";"533272"
"25/05/2022_07:00";"7949322156";"55362867";"112027";"23242658";"47032";"32120209";"64995";"4679526621";"3155917966";"1380020255";"32708916";"60962605";"95285841";"1084819";"136570314";"196029";"2056907";"90060581";"5314765921";"82580813841";"2514337";"252674777";"2585217956";"2055185";"2766835";"14384069719";"4742255";"3869830";"860940145";"1727663933";"809693771";"8943";"181465072";"55281116";"1776838184";"332768";"782020833";"136487864";"116186177";"20553882";"855239737635";"27993631";"1437852349575";"14995";"1081865731555";"56940";"4295140390012";"148108";"5129861";"196534";"3003636";"16882094";"122140";"43656873";"664289";"3245422";"155828";"4426373041";"1975420";"988333";"423749";"158083475973";"533426"
"25/05/2022_08:00";"7949331440";"55378869";"128029";"23249376";"53750";"32129493";"74279";"5347967237";"3606717807";"1577142436";"32718466";"60980308";"95313174";"1085135";"156077794";"224029";"2350726";"102925140";"5314811792";"94377039357";"2873521";"288768528";"2954524899";"2055779";"2767634";"14388232882";"4743626";"3870948";"860941166";"1727665873";"809696759";"10220";"207386326";"63177445";"1777354968";"332864";"782019768";"155983728";"132782157";"23489789";"977401790990";"31992228";"1437848350887";"14995";"1081864939023";"56940";"4295139179598";"148108";"5131344";"196591";"3004504";"16886978";"122175";"43656978";"664481";"3246360";"155873";"5058634144";"1975991";"988619";"423872";"158129168054";"533580"
"25/05/2022_09:00";"7949340718";"55394861";"144021";"23256090";"60464";"32138771";"83557";"6015991797";"4057236316";"1774140691";"32728010";"60998001";"95340489";"1085449";"175572952";"252012";"2644362";"115781687";"5314857632";"106165942920";"3232488";"324840004";"3323608219";"2056373";"2768434";"14392393426";"4744996";"3872066";"860942186";"1727667812";"809699746";"11497";"233291477";"71068803";"1777871428";"332960";"782018705";"175467317";"149367689";"26423848";"1099486932244";"35988308";"1437844354928";"14995";"1081864147031";"56940";"4295137970011";"148108";"5132826";"196648";"3005372";"16891859";"122210";"43657083";"664673";"3247298";"155918";"5690497181";"1976562";"988904";"423994";"158174831367";"533734"
"25/05/2022_10:00";"7949350006";"55410868";"160028";"23262809";"67183";"32148059";"92845";"6684627370";"4508166153";"1971317897";"32737563";"61015709";"95367829";"1085765";"195085762";"280021";"2938268";"128649988";"5314903519";"117965649650";"3591791";"360944664";"3693035374";"2056967";"2769234";"14396557750";"4746367";"3873185";"860943207";"1727669752";"809702735";"12775";"259220353";"78967322";"1778388359";"333056";"782017641";"194968588";"165968271";"29360569";"1221682863548";"39988014";"1437840354950";"14995";"1081863354242";"56940";"4295136759207";"148108";"5134309";"196705";"3006240";"16896744";"122245";"43657187";"664865";"3248236";"155963";"6322933622";"1977133";"989190";"424117";"158220536119";"533888"
"25/05/2022_11:00";"7949359290";"55426869";"176029";"23269527";"73901";"32157342";"102128";"7353041909";"4958946182";"2168428688";"32747112";"61033412";"95395159";"1086080";"214591940";"308020";"3232077";"141514029";"5314949389";"129761476068";"3950981";"397037581";"4062346656";"2057561";"2770033";"14400720671";"4747737";"3874303";"860944228";"1727671692";"809705723";"14052";"285140688";"86863173";"1778905117";"333153";"782016577";"214463272";"182563248";"32296298";"1343837524117";"43986370";"1437836356389";"14995";"1081862561735";"56940";"4295135548831";"148108";"5135791";"196762";"3007108";"16901628";"122281";"43657292";"665057";"3249174";"156008";"6955156463";"1977704";"989476";"424239";"158266225434";"534042"
"25/05/2022_12:00";"7949368550";"55442831";"191991";"23276228";"80602";"32166603";"111389";"8019843500";"5408637695";"2365062603";"32756639";"61051072";"95422423";"1086394";"234050870";"335951";"3525178";"154347023";"5314995142";"141528858302";"4309311";"433043593";"4430772980";"2058153";"2770831";"14404873519";"4749105";"3875419";"860945246";"1727673627";"809708703";"15326";"310998505";"94739915";"1779420626";"333249";"782015516";"233910775";"199118060";"35224923";"1465696541082";"47975048";"1437832368168";"14995";"1081861771277";"56940";"4295134341586";"148108";"5137270";"196819";"3007974";"16906500";"122316";"43657396";"665249";"3250110";"156053";"7585849173";"1978273";"989761";"424362";"158311804171";"534196"
"25/05/2022_13:00";"7949377832";"55458830";"207990";"23282945";"87319";"32175885";"120671";"8688174272";"5859359750";"2562146228";"32766187";"61068772";"95449750";"1086709";"253554244";"363946";"3818952";"167209441";"5315041006";"153323247121";"4668469";"469132369";"4800050460";"2058747";"2771631";"14409035865";"4750475";"3876537";"860946267";"1727675566";"809711691";"16603";"336915653";"102634664";"1779937315";"333345";"782014452";"253402737";"215710718";"38160242";"1587834143985";"51972845";"1437828370201";"14995";"1081860978887";"56940";"4295133131391";"148108";"5138753";"196876";"3008842";"16911383";"122351";"43657501";"665441";"3251048";"156098";"8217983730";"1978844";"990046";"424484";"158357487106";"534350"
"25/05/2022_14:00";"7949387100";"55474804";"223964";"23289651";"94025";"32185153";"129939";"9355490893";"6309397120";"2758929561";"32775721";"61086445";"95477035";"1087024";"273027844";"391899";"4112281";"180052336";"5315086798";"165099758970";"5027089";"505166573";"5168773817";"2059340";"2772429";"14413191868";"4751843";"3877654";"860947286";"1727677503";"809714674";"17878";"362793504";"110517376";"1780453219";"333441";"782013390";"272864982";"232278080";"41091086";"1709785536859";"55964547";"1437824378614";"14995";"1081860187761";"56940";"4295131923126";"148108";"5140233";"196933";"3009709";"16916259";"122387";"43657606";"665632";"3251984";"156143";"8849154540";"1979414";"990332";"424606";"158403100394";"534504"
"25/05/2022_15:00";"7949396378";"55490797";"239957";"23296366";"100740";"32194431";"139217";"10023595012";"6759964838";"2955943885";"32785266";"61104139";"95504351";"1087339";"292524245";"419884";"4405956";"192910382";"5315132645";"176890188589";"5386140";"541243493";"5537938544";"2059934";"2773228";"14417352749";"4753213";"3878772";"860948307";"1727679442";"809717660";"19155";"388701923";"118409335";"1780969729";"333537";"782012326";"292350054";"248864874";"44025368";"1831879969963";"59960931";"1437820382288";"14994";"1081859395697";"56940";"4295130713428";"148108";"5141715";"196990";"3010577";"16921141";"122422";"43657711";"665824";"3252922";"156188";"9481065667";"1979985";"990617";"424729";"158448767182";"534658"
"25/05/2022_16:00";"7949405646";"55506771";"255931";"23303072";"107446";"32203699";"148485";"10690918778";"7210005547";"3152726865";"32794800";"61121813";"95531635";"1087653";"311997694";"447837";"4699289";"205753404";"5315178439";"188666867155";"5744777";"577278465";"5906678314";"2060527";"2774027";"14421508744";"4754581";"3879888";"860949326";"1727681378";"809720643";"20430";"414580113";"126292019";"1781485634";"333633";"782011264";"311812228";"265432176";"46956202";"1953830921983";"63952619";"1437816390567";"14994";"1081858604545";"56940";"4295129505123";"148108";"5143195";"197047";"3011443";"16926016";"122457";"43657815";"666016";"3253858";"156233";"10112234196";"1980555";"990902";"424851";"158494380305";"534812"
"25/05/2022_17:00";"7949414929";"55522772";"271932";"23309790";"114164";"32212982";"157768";"11359357400";"7660797369";"3349837364";"32804350";"61139515";"95558965";"1087968";"331503496";"475836";"4993113";"218617876";"5315224308";"200463240620";"6104020";"613373829";"6276040359";"2061121";"2774826";"14425671655";"4755952";"3881007";"860950347";"1727683318";"809723631";"21708";"440501565";"134187815";"1782002400";"333729";"782010200";"331306777";"282027037";"49891911";"2075984734755";"67950947";"1437812392281";"14994";"1081857812092";"56940";"4295128294831";"148108";"5144678";"197104";"3012311";"16930900";"122492";"43657920";"666208";"3254796";"156278";"10744452648";"1981126";"991188";"424973";"158540069303";"534966"
"25/05/2022_19:00";"7949433485";"55554755";"303915";"23323217";"127591";"32231538";"176324";"12695472027";"8561864485";"3743829785";"32823439";"61174900";"95613592";"1088598";"370492306";"531801";"5580428";"244332128";"5315315997";"224042590194";"6822117";"685523951";"7014361777";"2062308";"2776425";"14433992648";"4758692";"3883243";"860952387";"1727687195";"809729604";"24261";"492314989";"149970231";"1783035336";"333921";"782008073";"370273215";"315197469";"55759917";"2320150371338";"75942954";"1437804400240";"14994";"1081856228084";"56940";"4295125875619";"148108";"5147641";"197218";"3014047";"16940662";"122563";"43658130";"666592";"3256671";"156368";"12008154677";"1982267";"991759";"425218";"158631394192";"535275"
"25/05/2022_20:00";"7949442782";"55570778";"319938";"23329944";"134318";"32240834";"185620";"13364829136";"9013273502";"3941207426";"32833002";"61192627";"95640958";"1088913";"390024370";"559838";"5874657";"257214260";"5315361935";"235855233965";"7181874";"721669489";"7384250126";"2062903";"2777225";"14438161199";"4760064";"3884362";"860953410";"1727689138";"809732596";"25540";"518272152";"157876707";"1783552806";"334018";"782007008";"389794132";"331814775";"58699597";"2442469402698";"79946690";"1437800396160";"14994";"1081855434482";"56940";"4295124663573";"148108";"5149126";"197275";"3014916";"16945553";"122598";"43658235";"666784";"3257610";"156413";"12641228234";"1982839";"992045";"425341";"158677144987";"535429"
"25/05/2022_21:00";"7949452049";"55586752";"335912";"23336650";"141024";"32250102";"194888";"14032168279";"9463320878";"4137988784";"32842536";"61210301";"95668241";"1089228";"409497369";"587790";"6168000";"270057551";"5315407726";"247632285522";"7540554";"757706246";"7753029580";"2063496";"2778024";"14442317157";"4761432";"3885479";"860954429";"1727691074";"809735578";"26815";"544151091";"165759290";"1784068714";"334114";"782005946";"409256057";"348381865";"61630393";"2564418794772";"83938327";"1437796404862";"14994";"1081854643414";"56940";"4295123455396";"148108";"5150606";"197332";"3015782";"16950428";"122633";"43658339";"666976";"3258547";"156458";"13272388689";"1983409";"992330";"425463";"158722757526";"535583"
"25/05/2022_22:00";"7949461328";"55602745";"351905";"23343364";"147738";"32259381";"204167";"14700317600";"9913913891";"4335007812";"32852081";"61227995";"95695558";"1089543";"428993830";"615776";"6461700";"282916429";"5315453577";"259423655263";"7899675";"793786945";"8122262990";"2064090";"2778823";"14446478133";"4762802";"3886597";"860955449";"1727693013";"809738565";"28092";"570061478";"173651386";"1784585246";"334210";"782004882";"428741470";"364968949";"64564726";"2686515364323";"87934781";"1437792408422";"14994";"1081853851327";"56940";"4295122245663";"148108";"5152088";"197389";"3016650";"16955310";"122669";"43658445";"667167";"3259484";"156503";"13904310874";"1983979";"992616";"425585";"158768425114";"535737"
"25/05/2022_23:00";"7949470615";"55618753";"367913";"23350085";"154459";"32268668";"213454";"15369073910";"10364915507";"4532204591";"32861636";"61245706";"95722898";"1089858";"448507821";"643787";"6755668";"295786983";"5315499472";"271225757386";"8259129";"829900614";"8491838087";"2064684";"2779623";"14450642863";"4764174";"3887716";"860956471";"1727694953";"809741554";"29369";"595995435";"181550596";"1785102246";"334306";"782003818";"448244446";"381570983";"67501704";"2808721977863";"91934836";"1437788408093";"14994";"1081853058469";"56940";"4295121034753";"148108";"5153571";"197446";"3017519";"16960196";"122704";"43658549";"667360";"3260423";"156548";"14536802602";"1984551";"992901";"425708";"158814133861";"535891"
"26/05/2022_00:00";"7949479891";"55634741";"104";"23356798";"44";"32277944";"60";"4363150";"2942510";"1286651";"32871179";"61263396";"95750206";"1090173";"127327";"183";"1918";"83971";"5315545308";"76998768";"2345";"235602";"2410781";"2065277";"2780422";"14454802606";"4765543";"3888834";"860957491";"1727696892";"809744540";"8";"169198";"51540";"1785618629";"334402";"782002755";"127252";"108324";"19163";"797369588";"26099";"1437784412977";"14994";"1081852266644";"56940";"4295119825420";"148108";"5155053";"197503";"3018386";"16965076";"122739";"43658663";"667552";"3261360";"156593";"4126861";"1985121";"993187";"425830";"158859787839";"536045"
"26/05/2022_01:00";"7949489162";"55650720";"16083";"23363506";"6752";"32287215";"9331";"671868721";"453108048";"198126932";"32880716";"61281075";"95777497";"1090488";"19606620";"28143";"295329";"12930508";"5315591119";"11856824823";"361060";"36279819";"371232312";"2065871";"2781221";"14458959852";"4766912";"3889950";"860958510";"1727698829";"809747524";"1284";"26054346";"7936542";"1786134702";"334498";"782001692";"19595147";"16680496";"2950858";"122784166445";"4018960";"1437780420138";"14994";"1081851475271";"56940";"4295118616777";"148108";"5156533";"197560";"3019253";"16969953";"122775";"43658767";"667744";"3262297";"156638";"635480907";"1985691";"993472";"425953";"158905414369";"536199"
"26/05/2022_02:00";"7949498455";"55666735";"32098";"23370229";"13475";"32296507";"18623";"1340854877";"904271350";"395402589";"32890274";"61298793";"95804849";"1090803";"39128940";"56166";"589391";"25805535";"5315637034";"23662799930";"720577";"72404176";"740878174";"2066465";"2782021";"14463126291";"4768284";"3891070";"860959532";"1727700770";"809750514";"2562";"51996939";"15838976";"1786651919";"334594";"782000627";"39106084";"33289307";"5889035";"245040664332";"8020649";"1437776418245";"14994";"1081850682103";"56940";"4295117405393";"148107";"5158017";"197617";"3020122";"16974841";"122810";"43658872";"667936";"3263235";"156683";"1268230816";"1986263";"993758";"426075";"158951141774";"536354"
"26/05/2022_03:00";"7949507722";"55682711";"48074";"23376937";"20183";"32305775";"27891";"2008275006";"1354377785";"592215212";"32899810";"61316469";"95832136";"1091118";"58605381";"84123";"882766";"38650416";"5315682836";"35441158801";"1079260";"108444161";"1109664972";"2067058";"2782819";"14467282952";"4769652";"3892187";"860960551";"1727702707";"809753498";"3838";"77878835";"23722854";"1787167923";"334690";"781999565";"58571208";"49859119";"8820313";"367010098317";"12012942";"1437772426171";"14994";"1081849890881";"56939";"4295116196982";"148107";"5159498";"197674";"3020989";"16979718";"122845";"43658977";"668128";"3264172";"156728";"1899495000";"1986833";"994043";"426198";"158996761809";"536508"
"26/05/2022_04:00";"7949516997";"55698696";"64059";"23383647";"26893";"32315050";"37166";"2676024473";"1804705583";"789123722";"32909351";"61334154";"95859436";"1091432";"78091252";"112093";"1176286";"51501631";"5315728664";"47225350000";"1438126";"144502121";"1478639983";"2067652";"2783618";"14471441636";"4771021";"3893304";"860961571";"1727704644";"809756483";"5114";"103773532";"31610567";"1787684180";"334787";"781998502";"78045797";"66436990";"11753016";"489038844146";"16007176";"1437768431912";"14994";"1081849099226";"56939";"4295114987908";"148107";"5160979";"197731";"3021856";"16984597";"122880";"43659081";"668320";"3265109";"156773";"2531066157";"1987403";"994328";"426320";"159042404029";"536662"
"26/05/2022_05:00";"7949526278";"55714694";"80057";"23390364";"33610";"32324331";"46447";"3344353431";"2255423448";"986201882";"32918900";"61351855";"95886760";"1091747";"97593854";"140087";"1470062";"64363993";"5315774532";"59019788215";"1797310";"180591564";"1847941447";"2068245";"2784418";"14475603903";"4772392";"3894422";"860962592";"1727706584";"809759470";"6391";"129690732";"39505068";"1788200883";"334883";"781997439";"97537148";"83029128";"14688244";"611172615008";"20004847";"1437764434211";"14994";"1081848306889";"56939";"4295113777794";"148107";"5162461";"197788";"3022724";"16989480";"122916";"43659186";"668512";"3266047";"156818";"3163180881";"1987974";"994614";"426442";"159088085531";"536816"
"26/05/2022_06:00";"7949535568";"55730705";"96068";"23397086";"40332";"32333620";"55736";"4013206224";"2706493841";"1183433276";"32928456";"61369569";"95914104";"1092063";"117111561";"168103";"1764069";"77236431";"5315820439";"70823491243";"2156783";"216709486";"2217538623";"2068840";"2785218";"14479769406";"4773763";"3895541";"860963614";"1727708525";"809762460";"7669";"155628277";"47405700";"1788717989";"334979";"781996374";"117043635";"99634152";"17625751";"733401237346";"24005624";"1437760433125";"14994";"1081847513881";"56939";"4295112566654";"148107";"5163945";"197845";"3023592";"16994366";"122951";"43659291";"668704";"3266985";"156863";"3795786518";"1988545";"994900";"426565";"159133802511";"536970"
"26/05/2022_07:00";"7949544829";"55746669";"112032";"23403788";"47034";"32342882";"64998";"4680133488";"3156264929";"1380095641";"32937985";"61387232";"95941370";"1092377";"136572901";"196039";"2057229";"90071805";"5315866206";"82593233456";"2515228";"252723620";"2586078014";"2069432";"2786016";"14483922891";"4775131";"3896657";"860964632";"1727710460";"809765441";"8943";"181491182";"55283531";"1789233604";"335075";"781995313";"136493828";"116191254";"20554780";"855277108506";"27994854";"1437756444283";"14994";"1081846723299";"56939";"4295111359221";"148107";"5165424";"197902";"3024459";"16999239";"122986";"43659396";"668895";"3267921";"156908";"4426566458";"1989115";"995185";"426687";"159179387551";"537124"
"26/05/2022_09:00";"7949563391";"55778662";"144025";"23417219";"60465";"32361444";"83560";"6016644362";"4057596303";"1774199974";"32957081";"61422629";"95996009";"1093007";"175572554";"252020";"2644721";"115793661";"5315957932";"106179657349";"3233564";"324895905";"3324643404";"2070620";"2787615";"14492246323";"4777871";"3898893";"860966673";"1727714338";"809771415";"11497";"233320095";"71070401";"1790266884";"335267";"781993185";"175471263";"149371047";"26424442";"1099511653991";"35989117";"1437748449955";"14994";"1081845138838";"56939";"4295108939316";"148107";"5168388";"198016";"3026194";"17009004";"123057";"43659606";"669279";"3269797";"156998";"5690625131";"1990256";"995756";"426932";"159270738214";"537432"
"26/05/2022_11:00";"7949581954";"55810657";"176020";"23430652";"73898";"32380006";"102122";"7353328238";"4959041381";"2168350388";"32976179";"61458029";"96050654";"1093637";"214576535";"308008";"3232291";"141518825";"5316049672";"129769215761";"3952021";"397078298";"4063329388";"2071808";"2789214";"14500570727";"4780612";"3901130";"860968715";"1727718217";"809777390";"14051";"285155840";"86859087";"1791300289";"335459";"781991058";"214453184";"182554660";"32294779";"1343774312408";"43984301";"1437740454589";"14994";"1081843554171";"56939";"4295106519097";"148107";"5171353";"198130";"3027930";"17018770";"123127";"43659815";"669663";"3271672";"157088";"6954829305";"1991398";"996327";"427177";"159362099391";"537740"
"26/05/2022_12:00";"7949591232";"55826650";"192013";"23437366";"80612";"32389285";"111401";"8021465616";"5409624855";"2365363428";"32985725";"61475724";"96077968";"1093952";"234072287";"335993";"3525987";"154377462";"5316095525";"141560415451";"4311149";"433158735";"4432568703";"2072401";"2790013";"14504731615";"4781982";"3902248";"860969735";"1727720156";"809780376";"15328";"311065825";"94750929";"1791816831";"335556";"781989995";"233937970";"199141210";"35229018";"1465866948183";"47980626";"1437736458381";"14994";"1081842762130";"56939";"4295105309434";"148107";"5172835";"198187";"3028798";"17023651";"123163";"43659920";"669855";"3272610";"157133";"7586731131";"1991969";"996613";"427299";"159407765508";"537894"
